num_expediente,fecha,hora,localizacion 1,localizacion 2,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,coordenada_x_utm,coordenada_y_utm,positiva_alcohol
2025S034507,26/03/2025,21:20:00,AVDA. POBLADOS,CALLE VIA LUSITANA,103,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,437647,4469453,N
2025S034507,26/03/2025,21:20:00,AVDA. POBLADOS,CALLE VIA LUSITANA,103,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,437647,4469453,N
2025S034527,26/03/2025,22:20:00,"CALLE GUZMAN EL BUENO, 8",,8,7,CHAMBERÍ,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,439487,4475888,N
2025S034527,26/03/2025,22:20:00,"CALLE GUZMAN EL BUENO, 8",,8,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,439487,4475888,N
2025S034531,26/03/2025,23:45:00,"AUTOV. A-4, +00500S",,+00500S,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,442080,4469566,N
2025S034531,26/03/2025,23:45:00,"AUTOV. A-4, +00500S",,+00500S,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,442080,4469566,N
2025S034531,26/03/2025,23:45:00,"AUTOV. A-4, +00500S",,+00500S,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Turismo,Peatón,De 25 a 29 años,Mujer,442080,4469566,N
2025S034532,26/03/2025,23:41:00,"CALLE ALCALA, 44",,44,1,CENTRO,Caída,Se desconoce,Motocicleta hasta 125cc,Conductor,De 25 a 29 años,Hombre,440907,4474457,N
2025S034544,26/03/2025,23:40:00,"CALLE VILLALOBOS, 55",,55,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,444966,4470286,S
2025S034544,26/03/2025,23:40:00,"CALLE VILLALOBOS, 55",,55,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,444966,4470286,N
2025S034544,26/03/2025,23:40:00,"CALLE VILLALOBOS, 55",,55,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,444966,4470286,N
2025S034544,26/03/2025,23:40:00,"CALLE VILLALOBOS, 55",,55,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,444966,4470286,N
2025S034645,26/03/2025,10:30:00,"PASEO. CASTELLANA, 259A",,259A,8,FUENCARRAL-EL PARDO,Alcance,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,441758,4480775,N
2025S034645,26/03/2025,10:30:00,"PASEO. CASTELLANA, 259A",,259A,8,FUENCARRAL-EL PARDO,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Mujer,441758,4480775,N
2025S034552,27/03/2025,0:20:00,CALLE ANTONIO LOPEZ,CALLE DOCTOR TOLOSA LATOUR,250,12,USERA,Colisión fronto-lateral,,Turismo,Conductor,De 30 a 34 años,Hombre,440960,4470208,N
2025S034552,27/03/2025,0:20:00,CALLE ANTONIO LOPEZ,CALLE DOCTOR TOLOSA LATOUR,250,12,USERA,Colisión fronto-lateral,,Turismo,Conductor,De 50 a 54 años,Hombre,440960,4470208,N
2025S034702,27/03/2025,8:42:00,"PASEO. CASTELLANA, 288",,288,5,CHAMARTÍN,Caída,Despejado,Motocicleta hasta 125cc,Conductor,De 25 a 29 años,Hombre,441847,4481025,N
2025S034702,27/03/2025,8:42:00,"PASEO. CASTELLANA, 288",,288,5,CHAMARTÍN,Caída,Despejado,Turismo,Conductor,De 35 a 39 años,Mujer,441847,4481025,N
2025S034708,27/03/2025,8:32:00,CALLE DOCTOR CASTELO,CALLE FERNANDO GONZALEZ,36,3,RETIRO,Atropello a persona,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,442789,4474625,N
2025S034708,27/03/2025,8:32:00,CALLE DOCTOR CASTELO,CALLE FERNANDO GONZALEZ,36,3,RETIRO,Atropello a persona,Despejado,Turismo,Peatón,De 25 a 29 años,Hombre,442789,4474625,N
2025S034708,27/03/2025,8:32:00,CALLE DOCTOR CASTELO,CALLE FERNANDO GONZALEZ,36,3,RETIRO,Atropello a persona,Despejado,Turismo,Peatón,De 25 a 29 años,Mujer,442789,4474625,N
2025S034709,27/03/2025,7:57:00,PASEO. CASTELLANA,GTA. EMILIO CASTELAR,41,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Conductor,De 45 a 49 años,Hombre,441570,4476278,N
2025S034709,27/03/2025,7:57:00,PASEO. CASTELLANA,GTA. EMILIO CASTELAR,41,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 18 a 20 años,Mujer,441570,4476278,N
2025S034709,27/03/2025,7:57:00,PASEO. CASTELLANA,GTA. EMILIO CASTELAR,41,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 18 a 20 años,Hombre,441570,4476278,N
2025S034710,27/03/2025,9:00:00,"CALLE OCAÑA, 37",,37,10,LATINA,Alcance,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,435803,4470662,N
2025S034710,27/03/2025,9:00:00,"CALLE OCAÑA, 37",,37,10,LATINA,Alcance,Despejado,Turismo,Conductor,De 60 a 64 años,Mujer,435803,4470662,N
2025S034711,27/03/2025,8:45:00,CALLE GUILLERMO PINGARRON,AVDA. PABLO NERUDA,7,13,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,445165,4470867,N
2025S034711,27/03/2025,8:45:00,CALLE GUILLERMO PINGARRON,AVDA. PABLO NERUDA,7,13,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Mujer,445165,4470867,N
2025S034711,27/03/2025,8:45:00,CALLE GUILLERMO PINGARRON,AVDA. PABLO NERUDA,7,13,PUENTE DE VALLECAS,Alcance,Despejado,Turismo,Pasajero,De 10 a 14 años,Hombre,445165,4470867,N
2025S034712,27/03/2025,7:57:00,"CALLE SAN JENARO, 21",,21,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,440390,4466308,N
2025S034712,27/03/2025,7:57:00,"CALLE SAN JENARO, 21",,21,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,440390,4466308,N
2025S034712,27/03/2025,7:57:00,"CALLE SAN JENARO, 21",,21,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,440390,4466308,N
2025S034712,27/03/2025,7:57:00,"CALLE SAN JENARO, 21",,21,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,440390,4466308,N
2025S034712,27/03/2025,7:57:00,"CALLE SAN JENARO, 21",,21,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,440390,4466308,N
2025S034713,27/03/2025,9:10:00,CALLE BOHEMIOS,CALLE LA DOLOROSA,6,17,VILLAVERDE,Caída,Despejado,Motocicleta > 125cc,Conductor,De 35 a 39 años,Hombre,441017,4467555,N
2025S034713,27/03/2025,9:10:00,CALLE BOHEMIOS,CALLE LA DOLOROSA,6,17,VILLAVERDE,Caída,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,441017,4467555,N
2025S034714,27/03/2025,9:25:00,AVDA. NICETO ALCALA ZAMORA,CALLE PINTOR LUCIO MUÑOZ,3,16,HORTALEZA,Colisión lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,444991,4481548,N
2025S034714,27/03/2025,9:25:00,AVDA. NICETO ALCALA ZAMORA,CALLE PINTOR LUCIO MUÑOZ,3,16,HORTALEZA,Colisión lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,444991,4481548,N
