CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T23:00:00Z,23,1,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T01:00:00Z,1,2,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T02:00:00Z,2,2,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T08:00:00Z,8,1,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T09:00:00Z,9,1,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T10:00:00Z,10,1,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T11:00:00Z,11,1,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T12:00:00Z,12,1,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T13:00:00Z,13,1,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T15:00:00Z,15,1,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T17:00:00Z,17,1,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T18:00:00Z,18,1,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T19:00:00Z,19,1,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T20:00:00Z,20,1,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T23:00:00Z,23,1,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T06:00:00Z,6,1,06,Valid
